@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
77.304392,7.873654,14.73846,8.722186,4.525484,5.368367,5.078045,4.577778,5.253154,2.676968,1.293484,1.932438,1.629016,2.104944,1.030391,0.686597,0.383012,0.488205,0.352423,1.232318,1.641988,0.961356,0.221322,0.503436,0.592171,0.229834,0.49023,0.713496,0.43916,0.451624,0.600219,0.486246,0.099464,0.486246,0.600219,0.451624,0.43916,0.713496,0.49023,0.229834,0.592171,0.503436,0.221322,0.961356,1.641988,1.232318,0.352423,0.488205,0.383012,0.686597,1.030391,2.104944,1.629016,1.932438,1.293484,2.676968,5.253154,4.577778,5.078045,5.368367,4.525484,8.722186,14.73846,7.873654,2.914447,standing
95.208187,35.976664,17.949715,7.851118,17.791086,3.83602,6.006762,4.448002,4.244534,4.636331,2.884465,1.895878,1.687867,0.449214,3.177005,0.87839,0.86608,2.212298,1.232707,2.153631,0.911463,0.744991,0.436565,0.884047,0.937945,0.32891,0.61656,0.320694,0.762447,0.948936,0.955759,0.851814,0.398488,0.851814,0.955759,0.948936,0.762447,0.320694,0.61656,0.32891,0.937945,0.884047,0.436565,0.744991,0.911463,2.153631,1.232707,2.212298,0.86608,0.87839,3.177005,0.449214,1.687867,1.895878,2.884465,4.636331,4.244534,4.448002,6.006762,3.83602,17.791086,7.851118,17.949715,35.976664,4.173274,standing
192.235776,54.678115,38.004471,53.281401,42.085316,26.521686,26.429875,16.733377,21.629879,17.427874,13.011325,16.914,20.489328,16.799833,14.81393,17.916444,17.719893,15.326071,11.785109,9.614073,6.586659,3.939844,3.211498,3.574357,3.180726,4.083255,4.94129,4.340659,3.137237,3.287311,3.21796,2.053636,1.723313,2.053636,3.21796,3.287311,3.137237,4.340659,4.94129,4.083255,3.180726,3.574357,3.211498,3.939844,6.586659,9.614073,11.785109,15.326071,17.719893,17.916444,14.81393,16.799833,20.489328,16.914,13.011325,17.427874,21.629879,16.733377,26.429875,26.521686,42.085316,53.281401,38.004471,54.678115,16.94093,standing
167.60948,40.954108,16.762104,16.92505,13.960185,10.051719,7.397154,6.601756,6.318328,6.158739,3.904694,3.178184,1.851379,2.14945,1.832759,1.865311,1.595981,1.138236,1.098627,1.047774,0.703687,0.683472,0.643896,0.30625,0.251525,0.227637,0.186164,0.436094,0.452607,0.45429,0.594669,0.651599,0.714836,0.651599,0.594669,0.45429,0.452607,0.436094,0.186164,0.227637,0.251525,0.30625,0.643896,0.683472,0.703687,1.047774,1.098627,1.138236,1.595981,1.865311,1.832759,2.14945,1.851379,3.178184,3.904694,6.158739,6.318328,6.601756,7.397154,10.051719,13.960185,16.92505,16.762104,40.954108,6.86979,standing
310.207717,31.790139,45.021612,20.27315,21.382737,27.841894,17.885193,9.352411,3.368509,4.249059,12.962578,12.828146,5.672759,5.861047,2.569601,2.238798,2.745432,2.540456,2.949376,2.348114,2.577523,1.647977,1.850922,1.857617,1.686921,1.847608,1.849952,1.190378,1.332033,1.213201,1.575411,1.285076,1.447466,1.285076,1.575411,1.213201,1.332033,1.190378,1.849952,1.847608,1.686921,1.857617,1.850922,1.647977,2.577523,2.348114,2.949376,2.540456,2.745432,2.238798,2.569601,5.861047,5.672759,12.828146,12.962578,4.249059,3.368509,9.352411,17.885193,27.841894,21.382737,20.27315,45.021612,31.790139,10.166018,standing
281.653327,93.275784,73.79092,37.067021,15.859125,37.972241,28.123804,21.10996,5.490451,4.537178,7.936184,5.903953,2.775005,4.496432,3.613701,3.896033,2.464641,2.801049,1.425627,2.193815,0.629412,0.239484,1.636192,0.983299,0.546797,0.464621,1.873196,0.47791,0.804178,0.801329,1.752447,1.062865,0.577615,1.062865,1.752447,0.801329,0.804178,0.47791,1.873196,0.464621,0.546797,0.983299,1.636192,0.239484,0.629412,2.193815,1.425627,2.801049,2.464641,3.896033,3.613701,4.496432,2.775005,5.903953,7.936184,4.537178,5.490451,21.10996,28.123804,37.972241,15.859125,37.067021,73.79092,93.275784,11.940597,standing
187.313044,58.679599,19.275307,18.298529,32.652492,33.549638,20.051531,10.658245,11.302916,9.922828,11.715216,10.906354,20.769389,16.995917,13.040827,10.480787,8.877541,10.808365,5.539632,4.944972,2.621441,3.647697,4.502414,2.403481,1.275376,1.773763,1.584733,2.452028,1.655187,2.954111,3.179367,1.974245,1.932062,1.974245,3.179367,2.954111,1.655187,2.452028,1.584733,1.773763,1.275376,2.403481,4.502414,3.647697,2.621441,4.944972,5.539632,10.808365,8.877541,10.480787,13.040827,16.995917,20.769389,10.906354,11.715216,9.922828,11.302916,10.658245,20.051531,33.549638,32.652492,18.298529,19.275307,58.679599,11.335217,standing
217.51694,30.526994,42.694196,30.192031,20.797594,7.663571,2.258931,9.106328,8.828402,1.776634,2.890672,1.574866,2.142229,3.012831,0.235572,1.013038,0.965461,1.032516,1.571113,2.68876,0.99101,0.22741,0.570284,2.460132,2.471364,2.091412,1.067798,0.630518,1.865988,2.491992,2.355887,1.752523,1.510801,1.752523,2.355887,2.491992,1.865988,0.630518,1.067798,2.091412,2.471364,2.460132,0.570284,0.22741,0.99101,2.68876,1.571113,1.032516,0.965461,1.013038,0.235572,3.012831,2.142229,1.574866,2.890672,1.776634,8.828402,9.106328,2.258931,7.663571,20.797594,30.192031,42.694196,30.526994,7.662003,standing
204.200665,43.786324,6.083912,22.688273,14.171115,15.356356,10.843198,9.057762,6.009596,9.751085,4.001774,5.545754,2.522346,1.45201,2.57223,2.212904,1.415645,1.359314,1.585985,1.702388,0.747164,1.191712,1.48081,1.762784,0.921411,1.24579,1.172976,1.272835,0.674192,1.449047,1.44479,1.05224,0.105598,1.05224,1.44479,1.449047,0.674192,1.272835,1.172976,1.24579,0.921411,1.762784,1.48081,1.191712,0.747164,1.702388,1.585985,1.359314,1.415645,2.212904,2.57223,1.45201,2.522346,5.545754,4.001774,9.751085,6.009596,9.057762,10.843198,15.356356,14.171115,22.688273,6.083912,43.786324,6.116753,standing
136.754876,54.008401,10.413689,11.4952,25.456111,17.661636,10.171436,7.490597,5.668332,4.626717,2.632169,3.068733,4.456373,4.537797,2.492356,1.267328,1.731871,2.906893,3.413599,3.542773,2.193388,1.755305,1.5772,3.249681,2.229533,1.98499,1.663967,1.19466,2.829876,2.037899,2.961721,1.832132,0.587081,1.832132,2.961721,2.037899,2.829876,1.19466,1.663967,1.98499,2.229533,3.249681,1.5772,1.755305,2.193388,3.542773,3.413599,2.906893,1.731871,1.267328,2.492356,4.537797,4.456373,3.068733,2.632169,4.626717,5.668332,7.490597,10.171436,17.661636,25.456111,11.4952,10.413689,54.008401,5.387739,standing
